University,Department,Overall Pay,LW Ratio,Academic Year,Field,School
Texas A&amp;M; University - College Station,Economics,20400.0,,2019-2020,Social Science,
Montana State University (MSU),History,17210.0,0.82,2019-2020,Humanities,
Sorbonne - Paris VI,Neuroscience,34306.0,,2015-2016,STEM,
University of Colorado - Boulder (UCB),Communication,29000.0,1.14,2019-2020,Social Science,
Yale University (YU),Interdepartmental Neuroscience Program,36550.0,1.48,2019-2020,STEM,Ivy
Vanderbilt University,Computer Science,28200.0,1.23,2016-2017,STEM,
Columbia University (CU),Environment health ,18500.0,0.7,2006-2007,STEM,Ivy
University of Southern California (USC),English,32000.0,1.24,2018-2019,Humanities,
Boston University (BU),Management,30100.0,1.14,2013-2014,Business,
Boston University (BU),Management,34000.0,1.29,2012-2013,Business,
University of Arkansas - Little Rock (UALR),Criminal Justice,15621.0,0.75,2018-2019,Social Science,
University of California - Irvine (UCI),Education,25998.0,0.89,2018-2019,Social Science,
University of Kansas (KU),Geography,24000.0,1.17,2018-2019,STEM,
University of Michigan - Ann Arbor (UM),Robotics,30500.0,1.32,2019-2020,STEM,
University of Minnesota - Twin Cities (UM),Graduate Program in Neuroscience,30000.0,1.31,2018-2019,STEM,
Wayne State University,Computer Science,18712.0,0.9,2019-2020,STEM,
Stanford University (SU),Neurology,68000.0,2.37,2018-2019,STEM,
University of Chicago (UC),Computational Neuroscience,32000.0,1.32,2019-2020,STEM,
University of Massachusetts Dartmouth,Biology,17900.0,,2018-2019,STEM,Ivy
Duke University (DU),Religion,34350.0,1.55,2019-2020,Humanities,
University of Southern California (USC),Preventive Medicine,32847.0,1.27,2018-2019,STEM,
Michigan State University (MSU),Earth andEnvironmental sciences ,33980.0,1.66,2018-2019,STEM,
University of Minnesota - Twin Cities (UM),Plant and Microbial biology ,26800.0,1.17,2018-2019,STEM,
The Catholic University of America,School of Theology and Religious Studies,17785.0,0.58,2018-2019,Humanities,
University of Michigan - Ann Arbor (UM),Musicology,21778.0,0.94,2018-2019,Humanities,
Rutgers the State University of New Jersey - New Brunswick,English,22700.0,0.88,2018-2019,Humanities,
University of Michigan - Ann Arbor (UM),Program in Chemical Biology,31716.0,1.37,2018-2019,STEM,
University of Minnesota - Twin Cities (UM),Epidemiology,23878.0,1.04,2018-2019,STEM,
University of Cincinnati (UC),Biomedical Informatics,27500.0,1.42,2019-2020,STEM,
University of Michigan - Ann Arbor (UM),Joint PhD for Social Work and Social Science,25600.0,1.11,2018-2019,Social Science,
New York University (NYU),Center for Neural Science,42000.0,1.41,2019-2020,STEM,
University of Houston (UH),Chemical and Biomolecular Engineering,28000.0,1.28,2018-2019,STEM,
University of Cincinnati (UC),Biology,21810.0,1.13,2019-2020,STEM,
Rutgers the State University of New Jersey - Newark,School of Criminal Justice ,28000.0,1.03,2018-2019,Social Science,
Brown University,Theater Arts & Performance Studies,30960.0,1.36,2019-2020,Humanities,Ivy
University of Michigan - Ann Arbor (UM),History,31500.0,1.36,2018-2019,Humanities,
Northwestern University (NU),Sociology,35500.0,1.46,2018-2019,Social Science,
University of Central Florida (UCF),Management,22500.0,0.97,2018-2019,Business,
Northwestern University (NU),History ,31625.0,1.3,2019-2020,Humanities,
University of Texas - Austin (UT),History,24000.0,1.05,2018-2019,Humanities,
Rutgers the State University of New Jersey - New Brunswick,English,29000.0,1.12,2019-2020,Humanities,
University of Rochester (UR),Biomedical Genetics,29567.0,1.38,2018-2019,STEM,
Massachusetts Institute of Technology (MIT),Computational Biology,39680.0,1.42,2019-2020,STEM,
Trinity College Dublin ,Psychiatry,16000.0,,2019-2020,Social Science,
University of Maryland - College Park (UMD),Neuroscience and Cognitive Science,19810.0,0.72,2012-2013,STEM,
University of Florida (UF),Pharmaceutical Outcomes and Policy,27260.0,1.2,2019-2020,Social Science,
Virginia Tech,civil engineering,44000.0,2.09,2019-2020,STEM,
Harvard University (HU),Population Health Sciences,35651.0,1.24,2019-2020,STEM,
University of Pennsylvania,Chemistry,34000.0,1.41,2019-2020,STEM,Ivy
George Washington University (GW),Department of Biological Sciences,26000.0,0.84,2018-2019,STEM,
Harvard University (HU),Biological Sciences in Public Health,39851.0,1.39,2019-2020,Social Science,
Carnegie Mellon University (CMU),Chemical Engineering,30750.0,1.49,2019-2020,STEM,
Washington University in St. Louis (Wash U),Biology,30500.0,1.48,2019-2020,STEM,
Michigan State University (MSU),Psychology ,27000.0,1.32,2018-2019,Social Science,
University of California - Los Angeles (UCLA),Architecture,26000.0,1.0,2018-2019,Humanities,
Imperial College London,Chemical Engineering,22321.0,,2019-2020,STEM,
universite de montreal,computer science,25000.0,,2019-2020,STEM,
Indiana University,Music Theory,15000.0,0.7,2019-2020,Humanities,
University at Albany - SUNY,Sociology,25400.0,1.12,2019-2020,Social Science,
University of Kansas (KU),Special Education ,26400.0,1.41,2011-2012,Social Science,
University of Sussex ,Life science ,18475.0,,2019-2020,Social Science,
University of Sussex ,Life science ,18475.0,,2019-2020,Social Science,
KU Leuven,Economics,33000.0,,2018-2019,Social Science,
"City, University of London",Mathematics,16000.0,,2019-2020,STEM,
University of Warwick (UK),Chemistry,19685.0,,2019-2020,STEM,
University of Oxford,Chemistry,19700.0,,2019-2020,STEM,
"Birkbeck, University of London",Biological sciences,20000.0,,2014-2015,STEM,
Ohio State University (OSU),Electrical and Computer Engineering,23972.0,1.19,2019-2020,STEM,
University of Birmingham ,PhD metallurgy and Materials,19721.0,,2018-2019,STEM,
Massachusetts Institute of Technology (MIT),Urban Studies and Planning,24500.0,0.88,2018-2019,Humanities,
University of Tokyo,Computer Science ,36000.0,,2019-2020,STEM,
University College London,Physics,22336.0,,2018-2019,STEM,
ETH Zurich ,Center for Law & Economics,49960.0,,2018-2019,Social Science,
University of Cambridge,PhD Psychiatry,22300.0,,2018-2019,Social Science,
University of Cape Town,Civil Engineering,15500.0,,2018-2019,STEM,
University of South Carolina (USC),Finance,22500.0,1.0,2019-2020,Business,
California Institute of Technology (Caltech),Bioengineering,36000.0,1.39,2019-2020,STEM,
University of Antwerp,Biology,26440.0,,2012-2013,STEM,
Fordham University (FU),Economics,23900.0,0.8,2018-2019,Social Science,
University of Delaware (UD),Chemical engineering,31000.0,1.22,2018-2019,STEM,
Scuola Normale Superiore,Neuroscience,18700.0,,2019-2020,STEM,
Leuphana University,Political science ,17400.0,,2018-2019,Social Science,
Stanford University (SU),Biology,44100.0,1.54,2019-2020,STEM,
University of North Carolina - Chapel Hill (UNC),History ,18700.0,0.84,2019-2020,Humanities,
University of Hong Kong,Education,36223.0,,2018-2019,Social Science,
University of Hong Kong,Education,36223.0,,2018-2019,Social Science,
Yeshiva University (YU),Neuroscience,33000.0,1.11,2018-2019,STEM,
University of Utah,Biomedical Engineering,26350.0,1.18,2019-2020,STEM,
Yale University (YU),Psychology,30625.0,1.24,2019-2020,Social Science,Ivy
University of Southern California (USC),American studies and ethnicity ,31900.0,1.23,2018-2019,Humanities,
Princeton University,Chemistry,38000.0,1.5,2016-2017,STEM,Ivy
University of Michigan - Ann Arbor (UM),Earth and Environmental Science,31800.0,1.38,2019-2020,STEM,
University of British Columbia,Medicine,25000.0,,2019-2020,STEM,
Boston College (BC),Social Work ,20000.0,0.72,2018-2019,Social Science,
Emory University,Immunology,26175.0,1.12,2016-2017,STEM,
University of Nebraska - Lincoln (NU),Agricultural Economics,18400.0,0.94,2019-2020,Social Science,
Colorado School of Mines,Civil and environmental engineering,20000.0,0.89,2018-2019,STEM,
University of Chicago (UC),Computer Science,36000.0,1.48,2019-2020,STEM,
Mount Sinai School of Medicine,Genetics,40000.0,1.35,2018-2019,STEM,
University of Utah,Biosciences ,28500.0,1.28,2019-2020,STEM,
University of Chicago (UC),Political Sciencd,25800.0,1.06,2019-2020,Social Science,
Princeton University,Neuroscience,60000.0,2.36,2018-2019,STEM,Ivy
University of Texas - Austin (UT),Molecular Biosciences,30000.0,1.31,2018-2019,STEM,
University of New Mexico (UNM),Biomedical Sciences,22000.0,1.05,2019-2020,STEM,
University of California - Santa Cruz,Environmental Studies,20775.0,0.77,2019-2020,Humanities,
University of Minnesota - Twin Cities (UM),English,19900.0,0.87,2019-2020,Humanities,
University of Texas at Austin,Computational Science and Engineering,30000.0,,2019-2020,STEM,
George Washington University (GW),Industrial organizational Psychology ,26973.0,0.87,2019-2020,Social Science,
University of Texas at Austin,Computational Science and Engineering,30000.0,,2018-2019,STEM,
University of Mississippi (Ole Miss),BioMolecular Sciences,23300.0,1.08,2018-2019,STEM,
Iowa State University (ISU),Human Development & Family Studies,17800.0,0.84,2019-2020,Humanities,
University of Pennsylvania,Biomedical Graduate Studies,34000.0,1.41,2018-2019,Humanities,Ivy
Duke University (DU),Cognitive Neuroscience,36250.0,1.63,2019-2020,STEM,
Saint Louis University,Psychology ,21670.0,,2019-2020,Social Science,
Florida Atlantic University (FAU),COS Biology IBN,30000.0,1.26,2018-2019,STEM,
Florida Atlantic University (FAU),COS Biology IB,20000.0,0.84,2018-2019,STEM,
University of California - Berkeley,English,33000.0,1.19,2018-2019,Humanities,
University of New Orleans (UNO),Biology,22400.0,0.97,2017-2018,STEM,
University of Colorado - Denver (UCD),Microbiology,31000.0,1.38,2019-2020,STEM,
Columbia University (CU),Biomedical Engineering,40155.0,1.35,2019-2020,STEM,Ivy
University of Delaware (UD),Computer Science,34800.0,1.37,2019-2020,STEM,
Duquesne University (DU),Biological Sciences,26500.0,1.28,2019-2020,STEM,
University of California - Davis (UCD),Biomedical Engineering,29900.0,1.25,2019-2020,STEM,
University of Pennsylvania,Genomics & Computational Biology,34000.0,1.41,2018-2019,STEM,Ivy
Ohio State University (OSU),Mechanical Engineering ,22800.0,1.14,2018-2019,STEM,
University of North Carolina - Chapel Hill (UNC),Health Behavior,22500.0,1.01,2018-2019,STEM,
Oakland University (OU),Psychology,15000.0,0.72,2018-2019,Social Science,
University of Chicago (UC),School of Social Service Administration ,31000.0,1.28,2019-2020,Social Science,
Stevens Institute of Technology,Computer Science,33000.0,1.24,2019-2020,STEM,
Georgia Institute of Technology (Georgia Tech),Environmental engineering,27000.0,1.16,2019-2020,STEM,
Baylor College of Medicine,Immunology and Microbiology,33300.0,1.52,2018-2019,STEM,
University of California - Berkeley,Neuroscience,38000.0,1.37,2019-2020,STEM,
University of Arkansas - Fayetteville,Cell and Molecular Biology ,18000.0,0.9,2018-2019,STEM,
Rosalind Franklin University of Medicine and Science,Neuroscience,30500.0,1.26,2019-2020,STEM,
University of Colorado - Boulder (UCB),Computer Engineering,38960.0,1.53,2018-2019,STEM,
Columbia University (CU),Sociology ,33000.0,1.11,2018-2019,Social Science,Ivy
University of Florida (UF),English,16500.0,0.73,2019-2020,Humanities,
University of Alberta,Biological Sciences,19000.0,,2017-2018,STEM,
University of Illinois - Chicago (UIC),Chemistry,19562.0,0.81,2017-2018,STEM,
Arizona State University (ASU),Political Science,18000.0,0.81,2018-2019,Social Science,
Wayne State University,School of medicine,26716.0,1.28,2018-2019,STEM,
Rensselaer Polytechnic Institute (RPI),Chemical and Biological engineering ,29547.0,1.3,2018-2019,STEM,
University of California - Davis (UCD),Microbiology ,32000.0,1.33,2019-2020,STEM,
University of Texas Medical Branch - Galveston,Biochemistry & Molecular Biology,29000.0,1.33,2018-2019,STEM,
University of Texas Medical Branch - Galveston,Biochemistry & Molecular Biology,31000.0,1.42,2019-2020,STEM,
University of Utah,Political science,16500.0,0.74,2019-2020,Social Science,
West Virginia University (WVU),Social and Behavioral Sciences,27343.0,1.23,2019-2020,Social Science,
University of Virginia (UVA),Environmental Sciences,26000.0,1.14,2018-2019,STEM,
Drexel University (DU),Neuroscience,29855.0,1.24,2019-2020,STEM,
Indiana University,english,19000.0,0.88,2019-2020,Humanities,
North Carolina State University (NCSU),Chemical Engineeeing,30000.0,1.31,2019-2020,STEM,
Indiana University,English,15750.0,0.73,2019-2020,Humanities,
CUNY - Queens College,Clinical Psychology,25000.0,0.84,2019-2020,Social Science,
Marquette University,Engineering,24000.0,1.12,2017-2018,STEM,
Boston University (BU),Graduate Program for Neuroscience,35000.0,1.22,2019-2020,STEM,
University of California - San Francisco (UCSF),Neuroscience,40000.0,1.34,2019-2020,STEM,
Vanderbilt University,Neuroscience ,31500.0,1.37,2019-2020,STEM,
Scuola normale superiore - Pisa (IT),Mathematics,17640.0,,2018-2019,STEM,
University of North Carolina - Chapel Hill (UNC),Public Policy,23000.0,1.03,2019-2020,Social Science,
Ohio University (OU),Biomedical sciences ,18000.0,0.86,2018-2019,STEM,
University of Minnesota - Twin Cities (UM),Chemical Engineering and Materials Science,29500.0,1.29,2015-2016,STEM,
University of Texas - Austin (UT),Biochemistry ,30000.0,1.31,2019-2020,STEM,
Massachusetts Institute of Technology (MIT),Political Science,27840.0,1.0,2019-2020,Social Science,
University of Iowa (UI),Political Science ,25465.0,1.15,2018-2019,Social Science,
University of Manitoba,Medical Microbiology and Infectious Diseases,18700.0,,2018-2019,STEM,
Harvard University (HU),Biological and biomedical studies,39000.0,1.36,2018-2019,Humanities,
Harvard University (HU),Biological and biomedical studies,39000.0,1.36,2018-2019,Humanities,
Wayne State University,English,15000.0,0.72,2015-2016,Humanities,
West Virginia University (WVU),Biomedical science,26300.0,1.18,2018-2019,STEM,
Tufts University (TU),Psychology,24000.0,0.86,2018-2019,Social Science,
Arizona State University (ASU),school of human evolution and social change,16850.0,0.76,2018-2019,Social Science,
Massachusetts Institute of Technology (MIT),Biology,39070.0,1.4,2018-2019,STEM,
University of Ottawa,Education,18000.0,,2019-2020,Social Science,
The university of Hong Kong,Biological sciences,32150.0,,2019-2020,STEM,
University of Tennessee - Knoxville,Mathematics ,28268.0,1.33,2017-2018,STEM,
University of Rochester (UR),Electrical,30000.0,1.4,2018-2019,STEM,
University of Rochester (UR),Electrical,30000.0,1.4,2018-2019,STEM,
Baylor University (BU),Geosciences,19000.0,0.96,2018-2019,STEM,
Temple University (TU),Art History,15000.0,0.71,2011-2012,Humanities,
New York University (NYU),Biology ,39852.0,1.34,2018-2019,STEM,
Columbia University (CU),Earth and Environmental Sciences,38910.0,1.31,2018-2019,STEM,Ivy
University of Texas Medical Branch - Galveston,Microbiology and immunology ,32000.0,1.46,2017-2018,STEM,
George Mason University (GMU),Psychology ,22895.0,0.76,2019-2020,Social Science,
George Mason University (GMU),Psychology ,22895.0,0.76,2019-2020,Social Science,
George Mason University (GMU),Psychology ,22895.0,0.76,2018-2019,Social Science,
George Washington University (GW),Business,30000.0,0.97,2019-2020,Business,
University of California - Los Angeles (UCLA),Neuroscience,32000.0,1.24,2018-2019,STEM,
University of Southern California (USC),Communication,32400.0,1.25,2019-2020,Social Science,
Iowa State University (ISU),Human Computer Interaction,35350.0,1.67,2018-2019,STEM,
University of Notre Dame (ND),Applied and Computational Mathematics and Statistics,24662.0,1.21,2018-2019,STEM,
University of Wisconsin - Madison (UW),Engineering Physics,22010.0,0.96,2017-2018,STEM,
University of Wisconsin - Madison (UW),Engineering Physics,24218.0,1.06,2018-2019,STEM,
University of Georgia (UGA),Geography ,23800.0,1.13,2018-2019,STEM,
University of Michigan - Ann Arbor (UM),Nursing,24578.0,1.06,2019-2020,STEM,
